Buy Date,Ticker,Buy Strat,ll
2025-01-14,A2ZINFRA.NS,EWBB_DC,20.42
2025-01-14,AARTIIND.NS,EW_BW,390.25
2025-01-14,ACME.BO,EWBB_DC,38.58
2025-01-14,ACROW.BO,EW_DC,692.0
2025-01-14,ADANIGREEN.NS,EWBB_W,885.0
2025-01-14,ADANIPOWER.NS,EW_DC,445.0
2025-01-14,ADARSHPL.BO,EW_BW,29.33
2025-01-14,ADMANUM.BO,EW_BW,81.85
2025-01-14,ADSL.NS,ATREWBB_DC,199.42
2025-01-14,AIMCOPEST.BO,EWBB_W,92.0
2025-01-14,ALANKIT.NS,EW_W,18.9
2025-01-14,ALBERTDAVD.NS,EW_W,1160.5
2025-01-14,ALEXANDER.BO,EW_DC,11.85
2025-01-14,ALPA.NS,ATREW_BW,110.0
2025-01-14,AMAL.BO,BB_UC,295.5
2025-01-14,ANDREWYU.BO,EW_W,36.25
2025-01-14,ANUPAM.BO,EW_BW,1.81
2025-01-14,APLAB.BO,BB_W,75.16
2025-01-14,APOLLO.NS,EW_UC,92.55
2025-01-14,ARCEEIN.BO,EW_UC,5.33
2025-01-14,ARCFIN.BO,BB_DC,1.22
2025-01-14,ARIES.NS,BB_DC,246.7
2025-01-14,ARMANFIN.NS,BB_W,1176.0
2025-01-14,AROGRANITE.NS,EW_DC,41.26
2025-01-14,ARUNAHTEL.BO,EW_DC,9.55
2025-01-14,ASHIMASYN.NS,ATR_DC,29.1
2025-01-14,ASHSI.BO,EW_W,31.5
2025-01-14,ASIANHOTNR.NS,BB_DC,165.4
2025-01-14,ASINPET.BO,BB_DC,8.65
2025-01-14,ATGL.NS,EW_UC,620.6
2025-01-14,AVAILFC.BO,EW_DC,257.1
2025-01-14,AVANTIFEED.NS,EW_BW,572.0
2025-01-14,BALAXI.NS,EW_DC,67.0
2025-01-14,BALRAMCHIN.NS,EW_DC,457.2
2025-01-14,BALTE.BO,EW_DC,23.0
2025-01-14,BANCOINDIA.NS,BB_DC,435.0
2025-01-14,BBL.NS,EW_DC,3101.55
2025-01-14,BETXIND.BO,EW_BW,327.1
2025-01-14,BHANDARI.NS,BB_W,6.06
2025-01-14,BHASKAGR.BO,EW_W,55.25
2025-01-14,BIOCON.NS,ATR_UC,329.0
2025-01-14,BIOGEN.BO,EW_W,1.03
2025-01-14,BLUECHIP.NS,ATR_UC,7.32
2025-01-14,BOMOXY-B1.BO,EW_DC,27300.0
2025-01-14,BORORENEW.NS,EW_DC,494.95
2025-01-14,BRNL.NS,EWBB_DC,38.61
2025-01-14,BSE.NS,BB_DC,5023.1
2025-01-14,BSL.NS,BB_W,235.25
2025-01-14,BUTTERFLY.NS,BB_DC,702.0
2025-01-14,CALCOM.BO,EW_DC,108.0
2025-01-14,CAMLINFINE.NS,EW_W,95.59
2025-01-14,CARERATING.NS,ATREW_DC,1205.0
2025-01-14,CEETAIN.BO,EW_UC,37.1
2025-01-14,CENLUB.BO,BB_DC,430.0
2025-01-14,CENTRALBK.NS,EWBB_W,46.5
2025-01-14,CHENFERRO.BO,EWBB_DC,121.3
2025-01-14,CHRTEDCA.BO,EW_W,252.0
2025-01-14,CIANAGRO.BO,ATR_UC,459.5
2025-01-14,CINDRELL.BO,EW_DC,12.65
2025-01-14,COCHINSHIP.NS,EW_W,1357.05
2025-01-14,CONCORD.BO,EW_BW,34.25
2025-01-14,CORNE.BO,LR_DC,9.64
2025-01-14,CREDITACC.NS,EW_UC,810.0
2025-01-14,CREST.NS,EW_UC,398.2
2025-01-14,CTL.BO,BB_DC,44.0
2025-01-14,CUB.NS,ATR_UC,161.16
2025-01-14,DALMIASUG.NS,BB_DC,324.0
2025-01-14,DAVANGERE.BO,EW_DC,5.0
2025-01-14,DELTAMAGNT.NS,EW_W,98.37
2025-01-14,DEVINE.BO,BB_DC,9.09
2025-01-14,DHANROTO.BO,EW_DC,175.05
2025-01-14,DRAGARWQ.BO,EW_DC,4700.0
2025-01-14,DREDGECORP.NS,EW_BW,711.25
2025-01-14,EASTRED.BO,LR_UC,35.0
2025-01-14,EMERALD.BO,ATR_UC,58.0
2025-01-14,EMKAY.NS,ATR_W,269.75
2025-01-14,ENERGYDEV.NS,EW_DC,23.33
2025-01-14,EPSOMPRO.BO,EW_DC,7.52
2025-01-14,ERIS.NS,BB_W,1224.35
2025-01-14,ESHAMEDIA.BO,BB_W,13.57
2025-01-14,ETIL.BO,BB_W,7.22
2025-01-14,FACORALL.BO,EW_DC,4.22
2025-01-14,FCSSOFT.NS,EW_DC,3.0
2025-01-14,FERMENTA.BO,EW_DC,355.0
2025-01-14,FOODSIN.BO,EW_DC,95.1
2025-01-14,FOSECOIND.NS,EW_DC,3780.0
2025-01-14,FRANKLININD.BO,EW_W,1.71
2025-01-14,FRONTCAP.BO,EW_W,14.98
2025-01-14,FRONTCORP.BO,EW_BW,40.0
2025-01-14,GANGAFORGE.NS,EW_BW,6.38
2025-01-14,GARWSYN.BO,EW_W,28.65
2025-01-14,GCMSECU.BO,EW_DC,0.9
2025-01-14,GILLETTE.NS,EW_BW,9002.3
2025-01-14,GINNIFILA.NS,EW_UC,26.7
2025-01-14,GLFL.NS,ATR_UC,6.71
2025-01-14,GLOBOFFS.BO,EW_BW,97.55
2025-01-14,GODAVARI.BO,EWBB_W,102.0
2025-01-14,GODHA.NS,EW_W,0.96
2025-01-14,GOLDENTOBC.NS,EW_DC,37.05
2025-01-14,GOLDIAM.NS,ATRBB_BW,305.35
2025-01-14,GOPAIST.BO,EWBB_W,6.52
2025-01-14,GORANIN.BO,EW_UC,93.25
2025-01-14,GREAVESCOT.NS,BB_W,154.5
2025-01-14,GSFC.NS,BB_DC,183.6
2025-01-14,GTL.NS,EW_W,10.66
